2024-05-22 01:58:04,861 DEBUG   HandlerThread:96844 [handler.py:handle_request():158] handle_request: status_report
2024-05-22 01:58:06,664 INFO    Thread-16 :96844 [dir_watcher.py:_on_file_modified():288] file/dir modified: E:\homework\資訊安全導論\pythonProject2\MVCweek4\wandb\run-20240522_015758-6pebjk3r\files\output.log
2024-05-22 01:58:07,083 DEBUG   SenderThread:96844 [sender.py:send():378] send: telemetry
2024-05-22 01:58:08,689 INFO    Thread-16 :96844 [dir_watcher.py:_on_file_modified():288] file/dir modified: E:\homework\資訊安全導論\pythonProject2\MVCweek4\wandb\run-20240522_015758-6pebjk3r\files\output.log
2024-05-22 01:58:09,704 INFO    Thread-16 :96844 [dir_watcher.py:_on_file_modified():288] file/dir modified: E:\homework\資訊安全導論\pythonProject2\MVCweek4\wandb\run-20240522_015758-6pebjk3r\files\output.log
2024-05-22 01:58:10,220 DEBUG   HandlerThread:96844 [handler.py:handle_request():158] handle_request: status_report
2024-05-22 01:58:15,289 DEBUG   HandlerThread:96844 [handler.py:handle_request():158] handle_request: status_report
2024-05-22 01:58:18,441 DEBUG   HandlerThread:96844 [handler.py:handle_request():158] handle_request: stop_status
2024-05-22 01:58:18,442 DEBUG   SenderThread:96844 [sender.py:send_request():405] send_request: stop_status
2024-05-22 01:58:20,745 DEBUG   HandlerThread:96844 [handler.py:handle_request():158] handle_request: status_report
2024-05-22 01:58:25,795 DEBUG   HandlerThread:96844 [handler.py:handle_request():158] handle_request: status_report
2024-05-22 01:58:30,854 DEBUG   HandlerThread:96844 [handler.py:handle_request():158] handle_request: status_report
2024-05-22 01:58:31,937 INFO    Thread-16 :96844 [dir_watcher.py:_on_file_modified():288] file/dir modified: E:\homework\資訊安全導論\pythonProject2\MVCweek4\wandb\run-20240522_015758-6pebjk3r\files\config.yaml
2024-05-22 01:58:33,442 DEBUG   HandlerThread:96844 [handler.py:handle_request():158] handle_request: stop_status
2024-05-22 01:58:33,442 DEBUG   SenderThread:96844 [sender.py:send_request():405] send_request: stop_status
2024-05-22 01:58:36,682 DEBUG   HandlerThread:96844 [handler.py:handle_request():158] handle_request: status_report
2024-05-22 01:58:41,737 DEBUG   HandlerThread:96844 [handler.py:handle_request():158] handle_request: status_report
2024-05-22 01:58:46,783 DEBUG   HandlerThread:96844 [handler.py:handle_request():158] handle_request: status_report
2024-05-22 01:58:48,448 DEBUG   HandlerThread:96844 [handler.py:handle_request():158] handle_request: stop_status
